2019-04-10, 14:51:39, 1.645979
2019-04-10, 14:51:44, 1.727931
2019-04-10, 14:51:49, 1.814127
2019-04-10, 14:51:54, 1.716828
2019-04-10, 14:51:59, 1.614324
2019-04-10, 14:55:36, 1.745897
2019-04-10, 14:55:40, 1.827213
2019-04-10, 14:55:45, 1.645918
2019-04-10, 14:55:50, 1.613751
2019-04-10, 14:55:56, 1.787132
2019-04-10, 14:56:01, 1.706915
2019-04-10, 14:56:06, 1.616803
2019-04-10, 14:56:11, 1.818599
2019-04-10, 14:56:17, 1.679621
2019-04-10, 14:57:27, 1.770967
2019-04-10, 14:57:31, 1.750386
2019-04-10, 14:57:36, 1.632694
2019-04-10, 14:57:42, 1.808768
2019-04-10, 14:57:47, 1.621341
2019-04-10, 15:07:11, 1.621859
2019-04-10, 15:07:16, 1.839546
2019-04-10, 15:07:21, 1.619252
2019-04-10, 15:07:26, 1.826199
2019-04-10, 15:07:31, 1.672107
2019-04-10, 15:07:37, 1.739920
2019-04-10, 15:07:42, 1.817291
2019-04-10, 15:07:47, 1.626282
2019-04-10, 15:07:52, 1.798645
2019-04-10, 15:07:58, 1.798578
2019-04-10, 15:09:04, 1.765057
2019-04-10, 15:09:09, 1.619762
2019-04-10, 15:09:14, 1.781843
2019-04-10, 15:09:19, 1.776834
2019-04-10, 15:13:42, 1.702971
2019-04-10, 15:13:46, 1.617672
2019-04-10, 15:13:51, 1.820690
2019-04-10, 15:13:56, 1.717776
2019-04-10, 15:17:27, 1.769199
2019-04-10, 15:17:27, 1.629575
2019-04-10, 15:17:31, 1.803553
2019-04-10, 15:17:31, 1.638172
2019-04-10, 15:17:37, 1.826438
2019-04-10, 15:17:37, 1.676704
2019-04-10, 15:17:42, 1.852642
2019-04-10, 15:17:42, 1.709306
2019-04-10, 15:17:48, 1.834698
2019-04-10, 15:17:48, 1.767677
2019-04-10, 15:17:53, 1.728844
2019-04-10, 15:17:53, 1.825263
2019-04-10, 15:17:59, 1.712230
2019-04-10, 15:17:59, 1.840407
2019-04-10, 15:18:04, 1.714504
2019-04-10, 15:18:04, 1.845632
2019-04-10, 15:18:10, 1.742783
2019-04-10, 15:18:10, 1.839018
2019-04-10, 15:18:15, 1.695887
2019-04-10, 15:18:15, 1.850036
2019-04-10, 15:18:20, 1.674891
2019-04-10, 15:18:20, 1.840674
2019-04-10, 15:18:26, 1.645416
2019-04-10, 15:18:26, 1.801529
2019-04-10, 15:18:31, 1.601988
2019-04-10, 15:18:31, 1.771391
2019-04-10, 15:18:37, 1.789299
2019-04-10, 15:18:37, 1.637969
2019-04-10, 15:18:42, 1.820376
2019-04-10, 15:18:42, 1.674706
2019-04-10, 15:22:11, 1.846206
2019-04-10, 15:22:11, 1.693314
2019-04-10, 15:22:11, 1.628737
2019-04-10, 15:22:16, 1.836463
2019-04-10, 15:22:16, 1.683116
2019-04-10, 15:22:16, 1.625462
2019-04-10, 15:22:54, 1.805365
2019-04-10, 15:22:54, 1.627741
2019-04-10, 15:22:54, 1.657315
2019-04-10, 15:22:54, 1.811487
